_id,name,mean,use_1,use_2,use_3,use_4,use_5,use_6,classification_1,classification_2,classification_3,classification_4,classification_5,classification_6,structure_1,structure_2,structure_3,structure_4,structure_5,structure_6,structure_7,example_1,example_2,example_3,example_4,example_5,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,__v
66818415e203776819f112e3,Can,có thể,"Diễn đạt khả năng ai đó có thể làm gì, sự vật/ hiện tượng có khả năng xảy ra ở hiện tại hoặc tương lai",,,,,,,,,,,,,,,,,,,She can speak English fluently.,,,,,,,,,,,0
66818415e203776819f112e5,Be able to,có thể,"Tương tự như ""Can"" và ""Could"".",,,,,,,,,,,,,,,,,,,He will be able to attend the meeting next week.,,,,,,,,,,,0
66818415e203776819f112e7,Might,có thể,"Quá khứ của ""May"", diễn tả khả năng đã xảy ra trong quá khứ.",,,,,,,,,,,,,,,,,,,She might have missed the train.,,,,,,,,,,,0
66818415e203776819f112e6,May,có thể,Diễn tả khả năng xảy ra ở thời điểm hiện tại.,,,,,,,,,,,,,,,,,,,He may know the answer to your question.,,,,,,,,,,,0
66818415e203776819f112e8,Will,sẽ,Diễn tả sự dự đoán về khả năng xảy ra trong tương lai.,dùng để đưa ra một quyết định ngay tại thời điểm nói.,,,,,,,,,,,,,,,,,,I think they will win the match tonight.,I will call him right now.,,,,,,,,,,0
66818415e203776819f112e9,Would,sẽ,Diễn tả sự dự đoán về sự việc đã xảy ra trong quá khứ.,,,,,,,,,,,,,,,,,,,He said he would finish the project by Friday.,,,,,,,,,,,0
66818415e203776819f112eb,Have to,phải,Diễn tả sự cần thiết phải làm một việc gì đó. Nhưng vì một lý do tác động bên ngoài nên mới phải làm.,,,,,,,,,,,,,,,,,,,They have to wear uniforms at school.,,,,,,,,,,,0
66818415e203776819f112e2,Động từ khuyết thiếu,là những động từ có chức năng bổ nghĩa cho động từ chính.,"Được sử dụng để diễn tả khả năng, sự cho phép, nghĩa vụ, lời đề nghị, yêu cầu, khả năng dự đoán, và ý muốn.",,,,,,,,,,,,S + modal verb + V.,S + modal verb + not + V .,Modal verb + S +  V?,,,,,She can swim.,She cannot swim.,Can she swim?,,,,,,,,,0
66818415e203776819f112e4,Could,có thể,"Quá khứ của ""Can"", diễn đạt khả năng ai đó có thể làm gì, sự vật/ hiện tượng có khả năng xảy ra ở trong quá khứ.",,,,,,,,,,,,,,,,,,,"When I was young, I could run very fast.",,,,,,,,,,,0
66818415e203776819f112ea,Must,phải,"Dùng để diễn tả sự cần thiết, bắt buộc phải làm ở thời điểm hiện tại hoặc tương lai.",dùng để đưa ra lời khuyên hay suy luận mang tính chắc chắn.,,,,,,,,,,,,,,,,,,She must finish her homework before going to bed.,You must be tired after working all day.,,,,,,,,,,0
66818415e203776819f112ec,Should,nên,"Dùng để đưa ra lời khuyên, ý kiến của mình.",dùng để đưa ra suy đoán về một việc gì đó.,"dùng để diễn tả sự bắt buộc phải làm điều đó nhưng nhẹ hơn ""Must"".",,,,,,,,,,,,,,,,,You should eat more vegetables for better health.,She should know the answer; she studied very hard for the test.,He should apologize for what he said.,,,,,,,,,0
