_id,question,optionA,optionB,optionC,optionD,correct,__v
668c0a5b4e1f8b5162864c1c,Identify the simple sentence,She likes chocolate.,"Although she likes chocolate, she prefers vanilla.",Chocolate is her favorite dessert.,Her brother likes chocolate too.,She likes chocolate.,0
668c0a5b4e1f8b5162864c1d,Identify the simple sentence,He plays soccer every weekend.,Playing soccer is his favorite activity.,Soccer matches are exciting to watch.,He prefers basketball over soccer.,He plays soccer every weekend.,0
668c0a5b4e1f8b5162864c1e,Identify the simple sentence,The cat sleeps all day.,Sleeping in the sun makes the cat happy.,Cats often nap during the day.,She wakes up at night to hunt mice.,The cat sleeps all day.,0
668c0a5b4e1f8b5162864c1f,Identify the simple sentence,They live in a big house.,Living in a big city is expensive.,Their house has five bedrooms.,They moved to the suburbs last year.,They live in a big house.,0
668c0a5b4e1f8b5162864c20,Identify the compound sentence,"She likes to dance, but she can't sing.",Dancing is her passion.,She prefers jazz music over pop.,Her friends enjoy dancing too.,"She likes to dance, but she can't sing.",0
668c0a5b4e1f8b5162864c21,Identify the compound sentence,"He studied hard for the exam, yet he didn't pass.",Studying late at night helps him concentrate.,Passing the exam was important to him.,He needs to improve his study habits.,"He studied hard for the exam, yet he didn't pass.",0
668c0a5b4e1f8b5162864c22,Identify the compound sentence,"She went shopping, and she bought new shoes.",Shopping malls are crowded on weekends.,Buying shoes online is convenient.,Her favorite color for shoes is blue.,"She went shopping, and she bought new shoes.",0
668c0a5b4e1f8b5162864c23,Identify the compound sentence,"They played basketball, but they lost the game.",Basketball is a popular sport worldwide.,Winning isn't everything in sports.,Their team practices every day.,"They played basketball, but they lost the game.",0
668c0a5b4e1f8b5162864c24,Identify the complex sentence,"After she finished her homework, she went to bed.",She finished her homework quickly.,Going to bed late affects her productivity.,She always completes her homework before bedtime.,"After she finished her homework, she went to bed.",0
668c0a5b4e1f8b5162864c25,Identify the complex sentence,He will call you when he arrives.,Calling you is important to him.,Arriving on time is his habit.,You should call him back later.,He will call you when he arrives.,0
668c0a5b4e1f8b5162864c26,Identify the complex sentence,"Although it was raining, they still went for a walk.",Rainy weather doesn't stop them from going for walks.,They enjoy walking in the rain.,They took umbrellas with them.,"Although it was raining, they still went for a walk.",0
668c0a5b4e1f8b5162864c27,Identify the complex sentence,"Because she was tired, she went to bed early.",Going to bed early helps her feel refreshed.,She prefers early morning walks.,Sleeping well is important for her health.,"Because she was tired, she went to bed early.",0
668c0a5b4e1f8b5162864c28,Identify the complex-compound sentence,"Although it was late, they decided to go out, but they regretted it later.",Late nights make them sleepy.,Going out with friends is fun.,They often stay up late watching movies.,"Although it was late, they decided to go out, but they regretted it later.",0
