_id,question,optionA,optionB,optionC,optionD,correct,__v
6679d063a2a4e1fd4fe5c0e1,___ went to the store.,They,Them,Their,They're,They,0
6679d063a2a4e1fd4fe5c0e2,___ are going to the park.,She,Her,They,Them,They,0
6679d063a2a4e1fd4fe5c0e3,___ are learning English.,I,Me,Mine,We,We,0
6679d063a2a4e1fd4fe5c0e4,___ loves to read books.,He,Him,His,Himself,He,0
6679d063a2a4e1fd4fe5c0e5,___ and Mary are going to the party.,I,Me,Myself,John,John,0
6679d063a2a4e1fd4fe5c0e6,I saw ___ at the store.,he,she,her,they,her,0
6679d063a2a4e1fd4fe5c0e7,They invited ___ to the party.,us,we,our,me,us,0
6679d063a2a4e1fd4fe5c0e8,Can you help ___ with this project?,I,me,my,mine,me,0
6679d063a2a4e1fd4fe5c0e9,The teacher gave ___ a compliment.,I,me,my,mine,me,0
6679d063a2a4e1fd4fe5c0ea,We saw ___ at the concert.,they,them,their,theirs,them,0
6679d063a2a4e1fd4fe5c0eb,___ is my friend.,She,Her,Hers,She’s,She,0
6679d063a2a4e1fd4fe5c0ec,___ went to the park yesterday.,Us,We,Our,Ours,We,0
6679d063a2a4e1fd4fe5c0ed,___ are playing soccer.,He,His,Him,They,They,0
6679d063a2a4e1fd4fe5c0ee,___ is the best solution.,It,Its,It’s,Itself,It,0
6679d063a2a4e1fd4fe5c0ef,___ is my book.,Those,This,That’s,Their,This,0
6679d063a2a4e1fd4fe5c0f0,She has a beautiful ___.,smile,smiling,smiled,smiley,smile,0
6679d063a2a4e1fd4fe5c0f1,He wrote a ___ about his trip.,reported,report,reporting,reporter,report,0
6679d063a2a4e1fd4fe5c0f2,The ___ is barking loudly.,dogs,dog,dogged,dogging,dog,0
6679d063a2a4e1fd4fe5c0f3,We need more ___.,inform,information,informing,informational,information,0
6679d063a2a4e1fd4fe5c0f4,She is an excellent ___.,teacher,teach,teaching,teaches,teacher,0
6679d063a2a4e1fd4fe5c0f5,He ___ the ball.,kicks,kick,kicked,kicking,kicks,0
6679d063a2a4e1fd4fe5c0f6,They ___ to the music.,dances,dancing,danced,dance,dance,0
6679d063a2a4e1fd4fe5c0f7,I ___ my homework.,finish,finishes,finished,finishing,finish,0
6679d063a2a4e1fd4fe5c0f8,She ___ a book every month.,reads,read,reading,reader,reads,0
6679d063a2a4e1fd4fe5c0f9,We ___ to the store yesterday.,goes,going,went,go,went,0
