_id,vocabulary,type,pronunciation,meaning,__v
6669abe4deb9c3c8f02d46ad,walk,v,/wɑːk/,đi bộ,0
6669abe4deb9c3c8f02d46ae,jog,v,/dʒɑːɡ/,đi bộ nhanh (tập thể dục),0
6669abe4deb9c3c8f02d46af,run,v,/rʌn/,chạy,0
6669abe4deb9c3c8f02d46b0,tiptoe,v,/ˈtɪp.toʊ/,đi nhón chân,0
6669abe4deb9c3c8f02d46b1,jump,v,/dʒʌmp/,nhảy,0
6669abe4deb9c3c8f02d46b2,leap,v,/liːp/,"nhảy vọt, nhảy xa",0
6669abe4deb9c3c8f02d46b3,stand,v,/stænd/,đứng,0
6669abe4deb9c3c8f02d46b4,sit,v,/sɪt/,ngồi,0
6669abe4deb9c3c8f02d46b5,lean,v,/liːn/,"dựa, tựa",0
6669abe4deb9c3c8f02d46b6,wave,v,/weɪv/,vẫy tay,0
6669abe4deb9c3c8f02d46b7,clap,v,/klæp/,vỗ tay,0
6669abe4deb9c3c8f02d46b8,point,v,/pɔɪnt/,"chỉ, trỏ",0
6669abe4deb9c3c8f02d46b9,catch,v,/kætʃ/,"bắt, đỡ",0
6669abe4deb9c3c8f02d46ba,stretch,v,/stretʃ/,"vươn (vai..), ưỡn lưng",0
6669abe4deb9c3c8f02d46bb,push,v,/pʊʃ/,đẩy,0
6669abe4deb9c3c8f02d46bc,pull,v,/pʊl/,kéo,0
6669abe4deb9c3c8f02d46bd,crawl,v,/krɑːl/,"bò, trườn",0
6669abe4deb9c3c8f02d46be,bend,v,/bend/,"cúi, uốn cong",0
6669abe4deb9c3c8f02d46bf,talk,v,/tɑːk/,"nói chuyện, trò chuyện",0
6669abe4deb9c3c8f02d46c0,kiss,v,/kɪs/,hôn,0
6669abe4deb9c3c8f02d46c1,laugh,v,/læf/,cười lớn,0
6669abe4deb9c3c8f02d46c2,smile,v,/smaɪl/,cười,0
6669abe4deb9c3c8f02d46c3,frown,v,/fraʊn/,nhíu mày,0
6669abe4deb9c3c8f02d46c4,cry,v,/kraɪ/,khóc lóc,0
6669abe4deb9c3c8f02d46c5,hit,v,/hɪt/,"đánh, va phải",0
6669abe4deb9c3c8f02d46c6,punch,v,/pʌntʃ/,"đấm, thọi",0
6669abe4deb9c3c8f02d46c7,kick,v,/kɪk/,đá,0
