_id,vocabulary,type,pronunciation,meaning,__v
6669ab7fdeb9c3c8f02d4486,apple,n,/ˈæp.əl/,quả táo,0
6669ab7fdeb9c3c8f02d4487,banana,n,/bəˈnæn.ə/,quả chuối,0
6669ab7fdeb9c3c8f02d4488,pear,n,/per/,quả lê,0
6669ab7fdeb9c3c8f02d4489,grape,n,/ɡreɪp/,quả nho,0
6669ab7fdeb9c3c8f02d448a,peach,n,/piːtʃ/,quả đào,0
6669ab7fdeb9c3c8f02d448b,orange,n,/ˈɔːr.ɪndʒ/,quả cam,0
6669ab7fdeb9c3c8f02d448c,mango,n,/ˈmæŋ.ɡoʊ/,quả xoài,0
6669ab7fdeb9c3c8f02d448d,coconut,n,/ˈkoʊ.kə.nʌt/,quả dừa,0
6669ab7fdeb9c3c8f02d448e,pineapple,n,/ˈpaɪnæpl/,quả dứa,0
6669ab7fdeb9c3c8f02d448f,watermelon,n,/ˈwɑː.t̬ɚˌmel.ən/,dưa hấu,0
6669ab7fdeb9c3c8f02d4490,durian,n,/ˈduːriən/,sầu riêng,0
6669ab7fdeb9c3c8f02d4491,lychee,n,"/ˈlaitʃiː, ˈliː-/",quả vải,0
6669ab7fdeb9c3c8f02d4492,guava,n,/ˈɡwaːvə/,quả ổi,0
6669ab7fdeb9c3c8f02d4493,starfruit,n,/ˈstɑːr.fruːt/,quả khế,0
6669ab7fdeb9c3c8f02d4494,apricot,n,/ˈeɪ.prɪ.kɑːt/,quả mơ,0
6669ab7fdeb9c3c8f02d4495,jackfruit,n,/ˈdʒæk.fruːt/,quả mít,0
6669ab7fdeb9c3c8f02d4496,avocado,n,/ˌɑː.vəˈkɑː.doʊ/,quả bơ,0
6669ab7fdeb9c3c8f02d4497,papaya,n,/pəˈpaɪ.ə/,quả đu đủ,0
6669ab7fdeb9c3c8f02d4498,plum,n,/plʌm/,quả mận,0
6669ab7fdeb9c3c8f02d4499,lemon,n,/ˈlem.ən/,chanh vàng,0
6669ab7fdeb9c3c8f02d449a,kiwi,n,/ˈkiː.wiː/,quả kiwi (dương đào),0
6669ab7fdeb9c3c8f02d449b,raspberry,n,/ˈræz.ber.i/,quả mâm xôi,0
6669ab7fdeb9c3c8f02d449c,blueberry,n,/ˈbluːˌbər.i/ /ˈbluːˌber.i/,quả việt quất,0
6669ab7fdeb9c3c8f02d449d,soup,n,/suːp/,"món súp, món canh",0
6669ab7fdeb9c3c8f02d449e,salad,n,/ˈsæl.əd/,"rau trộn, nộm rau",0
6669ab7fdeb9c3c8f02d449f,bread,n,/ˈbred/,bánh mì,0
6669ab7fdeb9c3c8f02d44a0,sausage,n,/ˈsɑː.sɪdʒ/,xúc xích,0
6669ab7fdeb9c3c8f02d44a1,hot dog,n,/ˈhɑːt ˌdɑːɡ/,bánh mỳ kẹp xúc xích,0
6669ab7fdeb9c3c8f02d44a2,bacon,n,/ˈbeɪ.kən/,thịt xông khói,0
6669ab7fdeb9c3c8f02d44a3,ham,n,/hæm/,thịt giăm bông,0
6669ab7fdeb9c3c8f02d44a4,egg,n,/eɡ/,trứng,0
6669ab7fdeb9c3c8f02d44a5,pork,n,/pɔːrk/,thịt lợn,0
