_id,vocabulary,type,pronunciation,meaning,__v
6669b47edeb9c3c8f02d48fa,family,n,/ˈfæm.əl.i/,gia đình,0
6669b47edeb9c3c8f02d48fb,mother,n,/ˈmaðə/,mẹ,0
6669b47edeb9c3c8f02d48fc,father,n,/ˈfɑː.ðɚ/,"bố, cha",0
6669b47edeb9c3c8f02d48fd,parent,n,/ˈpeərənt/,bố hoặc mẹ,0
6669b47edeb9c3c8f02d48fe,parents,n,,"bố mẹ, phụ huynh",0
6669b47edeb9c3c8f02d48ff,daughter,n,/ˈdɑː.t̬ɚ/,con gái,0
6669b47edeb9c3c8f02d4900,son,n,/san/,con trai,0
6669b47edeb9c3c8f02d4901,sibling,n,/ˈsibliŋ/,anh chị em ruột,0
6669b47edeb9c3c8f02d4902,sister,n,/ˈsistə/,"chị, em gái",0
6669b47edeb9c3c8f02d4903,brother,n,/ˈbrʌð.ɚ/,"anh, em trai",0
6669b47edeb9c3c8f02d4904,grandmother,n,/ˈɡræn.mʌð.ɚ/,bà nội (ngoại),0
6669b47edeb9c3c8f02d4905,grandfather,n,/ˈɡræn.fɑː.ðɚ/,ông nội (ngoại),0
6669b47edeb9c3c8f02d4906,grandparent,n,/ˈɡræn.per.ənt/,"ông hoặc bà,",0
6669b47edeb9c3c8f02d4907,grandparents,n,,ông bà,0
6669b47edeb9c3c8f02d4908,relative,n,/ˈrelətiv/,họ hàng,0
6669b47edeb9c3c8f02d4909,aunt,n,/ænt/,"cô, dì",0
6669b47edeb9c3c8f02d490a,uncle,n,/ˈaŋkl/,"chú, bác, cậu, dượng",0
6669b47edeb9c3c8f02d490b,cousin,n,/ˈkʌz.ən/,anh em họ,0
6669b47edeb9c3c8f02d490c,nephew,n,/ˈnefjuː/,cháu trai (con của anh chị em),0
6669b47edeb9c3c8f02d490d,niece,n,/niːs/,cháu gái (con của anh chị em),0
6669b47edeb9c3c8f02d490e,wife,n,/waif/,vợ,0
6669b47edeb9c3c8f02d490f,husband,n,/ˈhʌz.bənd/,chồng,0
6669b47edeb9c3c8f02d4910,head,n,/hed/,đầu,0
6669b47edeb9c3c8f02d4911,hair,n,/her/,tóc,0
6669b47edeb9c3c8f02d4912,face,n,/feɪs/,gương mặt,0
6669b47edeb9c3c8f02d4913,forehead,n,/ˈfɑː.rɪd/,trán,0
6669b47edeb9c3c8f02d4914,eyebrow,n,/ˈaɪ.braʊ/,lông mày,0
6669b47edeb9c3c8f02d4915,eye,n,/aɪ/,mắt,0
6669b47edeb9c3c8f02d4916,eyelash,n,/ˈaɪ.læʃ/,lông mi,0
6669b47edeb9c3c8f02d4917,nose,n,/nəʊz/,mũi,0
6669b47edeb9c3c8f02d4918,ear,n,/ɪr/,tai,0
6669b47edeb9c3c8f02d4919,cheek,n,/tʃiːk/,má,0
6669b47edeb9c3c8f02d491a,beard,n,/bɪrd/,râu,0
6669b47edeb9c3c8f02d491b,mouth,n,/maʊθ/,miệng,0
6669b47edeb9c3c8f02d491c,lip,n,/lɪp/,môi,0
6669b47edeb9c3c8f02d491d,tooth (teeth),n," /tuːθ/,  /tiːθ/",răng,0
6669b47edeb9c3c8f02d491e,gum,n,/ɡʌm/,"nướu, lợi",0
6669b47edeb9c3c8f02d491f,jaw,n,/dʒɑː/,"hàm, quai hàm",0
6669b47edeb9c3c8f02d4920,chin,n,/tʃɪn/,cằm,0
6669b47edeb9c3c8f02d4921,neck,n,/nek/,cổ,0
6669b47edeb9c3c8f02d4922,chest,n,/tʃest/,ngực (chung),0
6669b47edeb9c3c8f02d4923,back,n,/bæk/,lưng,0
6669b47edeb9c3c8f02d4924,belly,n,/ˈbeli/,bụng,0
6669b47edeb9c3c8f02d4925,hip,n,/hɪp/,hông,0
6669b47edeb9c3c8f02d4926,arm,n,/ɑːrm/,cánh tay,0
6669b47edeb9c3c8f02d4927,armpit,n,/ˈɑːrm.pɪt/,nách,0
6669b47edeb9c3c8f02d4928,forearm,n,/ˈfɔːr.ɑːrm/,cẳng tay,0
6669b47edeb9c3c8f02d4929,elbow,n,/ˈel.boʊ/,khuỷu tay,0
6669b47edeb9c3c8f02d492a,finger,n,/ˈfɪŋ.ɡɚ/,ngón tay,0
6669b47edeb9c3c8f02d492b,knuckle,n,/ˈnʌk.əl/,khớp đốt ngón tay,0
6669b47edeb9c3c8f02d492c,leg,n,/leɡ/,chân,0
6669b47edeb9c3c8f02d492d,knee,n,/niː/,đầu gối,0
6669b47edeb9c3c8f02d492e,ankle,n,/ˈæŋ.kəl/,mắt cá chân,0
6669b47edeb9c3c8f02d492f,heel,n,/hiːl/,gót chân,0
6669b47edeb9c3c8f02d4930,active,adj,/ˈæk.tɪv/,"năng nổ, lanh lợi",0
6669b47edeb9c3c8f02d4931,alert,adj,/əˈlɝːt/,"tỉnh táo, cảnh giác",0
6669b47edeb9c3c8f02d4932,ambitious,adj,/æmˈbɪʃ.əs/,tham vọng,0
6669b47edeb9c3c8f02d4933,attentive,adj,/əˈten.t̬ɪv/,"chăm chú, chú tâm",0
6669b47edeb9c3c8f02d4934,bold,adj,/boʊld/,"táo bạo, mạo hiểm",0
6669b47edeb9c3c8f02d4935,brave,adj,/breɪv/,"dũng cảm, gan dạ",0
6669b47edeb9c3c8f02d4936,careful,adj,/ˈker.fəl/,"cẩn thận, thận trọng",0
6669b47edeb9c3c8f02d4937,careless,adj,/ˈker.ləs/,"bất cẩn, cẩu thả",0
6669b47edeb9c3c8f02d4938,cautious,adj,/ˈkɑː.ʃəs/,"thận trọng, cẩn thận",0
6669b47edeb9c3c8f02d4939,conscientious,adj,/ˌkɑːn.ʃiˈen.ʃəs/,"chu đáo, tỉ mỉ",0
6669b47edeb9c3c8f02d493a,courageous,adj,/kəˈreɪ.dʒəs/,can đảm,0
6669b47edeb9c3c8f02d493b,crafty,adj,/ˈkræf.ti/,"láu cá, xảo quyệt",0
6669b47edeb9c3c8f02d493c,cunning,adj,/ˈkʌn.ɪŋ/,"xảo trá, khôn lỏi",0
6669b47edeb9c3c8f02d493d,deceitful,adj,/dɪˈsiːt.fəl/,dối trá,0
6669b47edeb9c3c8f02d493e,decent,adj,/ˈdiː.sənt/,"lịch sự, tao nhã",0
6669b47edeb9c3c8f02d493f,dependable,adj,/dɪˈpen.də.bəl/,đáng tin cậy,0
6669b47edeb9c3c8f02d4940,determined,adj,/dɪˈtɝː.mɪnd/,quyết tâm,0
6669b47edeb9c3c8f02d4941,devoted,adj,/dɪˈvoʊ.t̬ɪd/,"hết lòng, tận tâm, tận tụy",0
6669b47edeb9c3c8f02d4942,diligent,adj,/ˈdɪl.ə.dʒənt/,"siêng năng, cần cù",0
6669b47edeb9c3c8f02d4943,disciplined,adj,/ˈdɪs.ə.plɪnd/,có tính kỷ luật,0
6669b47edeb9c3c8f02d4944,dishonest,adj,/dɪˈsɑː.nɪst/,"bất lương, dối trá",0
6669b47edeb9c3c8f02d4945,disloyal,adj,/ˌdɪsˈlɔɪ.əl/,"phản trắc, phản bội",0
6669b47edeb9c3c8f02d4946,energetic,adj,/ˌen.ɚˈdʒet̬.ɪk/,giàu năng lượng,0
6669b47edeb9c3c8f02d4947,fair,adj,/fer/,ngay thẳng,0
6669b47edeb9c3c8f02d4948,faithful,adj,/ˈfeɪθ.fəl/,"trung thành, chung thủy",0
6669b47edeb9c3c8f02d4949,fearless,adj,/ˈfɪr.ləs/,bạo dạn,0
6669b47edeb9c3c8f02d494a,forgetful,adj,/fɚˈɡet.fəl/,hay quên,0
6669b47edeb9c3c8f02d494b,hard-headed,adj,/ˌhɑːrdˈhed.ɪd/,"cứng đầu, ương ngạnh",0
6669b47edeb9c3c8f02d494c,hardworking,adj,/ˈhɑrdˈwɜr·kɪŋ/,"chăm chỉ, chịu khó",0
6669b47edeb9c3c8f02d494d,hardy,adj,/ˈhɑːr.di/,"táo bạo, gan dạ",0
6669b47edeb9c3c8f02d494e,honest,adj,/ˈɑː.nɪst/,"chân thật, trung thành",0
6669b47edeb9c3c8f02d494f,idle,adj,/ˈaɪ.dəl/,"nhàn rỗi, lười nhác",0
6669b47edeb9c3c8f02d4950,immature,adj,/ˌɪm.əˈtʊr/,"non nớt, thiếu chín chắn",0
6669b47edeb9c3c8f02d4951,impartial,adj,/ɪmˈpɑːr.ʃəl/,"trung lập, ngay thẳng",0
6669b47edeb9c3c8f02d4952,inattentive,adj,/ˌɪn.əˈten.t̬ɪv/,"lơ đễnh, thiếu tập trung",0
6669b47edeb9c3c8f02d4953,independent,adj,/ˌɪn.dɪˈpen.dənt/,tự lập,0
6669b47edeb9c3c8f02d4954,inert,adj,/ˌɪnˈɝːt/,"trì trệ, chậm chạp",0
6669b47edeb9c3c8f02d4955,insightful,adj,/ˈɪn.saɪt.fəl/,"sâu sắc, sáng suốt",0
6669b47edeb9c3c8f02d4956,insincere,adj,/ˌɪn.sɪnˈsɪr/,"không thành thực, giả dối",0
6669b47edeb9c3c8f02d4957,irrational,adj,/ɪˈræʃ.ən.əl/,không hợp lý,0
