_id,vocabulary,type,pronunciation,meaning,__v
6681848ce203776819f11391,t-shirt,n,/ˈtiː.ʃɝːt/,áo phông,0
6681848ce203776819f11390,clothes,n,/kləʊðz/,quần áo (nói chung),0
6681848ce203776819f11397,skirt,n,/skɜːrt/,chân váy,0
6681848ce203776819f113ab,shoe,n,/ʃuː/,giày,0
6681848ce203776819f113ac,boot,n,/buːt/,"ủng, giày cao cổ",0
6681848ce203776819f113b2,hem,n,/hem/,"đường viền (áo, quần)",0
6681848ce203776819f113bd,linen,n,/ˈlɪnɪn/,vải lanh,0
6681848ce203776819f113c0,diamond,n,/ˈdaɪmənd/,kim cương,0
6681848ce203776819f113cd,patio,n,/ˈpæt̬.i.oʊ/,"hiên, sân hè",0
6681848ce203776819f113ce,balcony,n,/ˈbæl.kə.ni/,ban công,0
6681848ce203776819f113cf,floor,n,/flɔːr/,sàn nhà,0
6681848ce203776819f113d4,curtain,n,/ˈkɜːrtn/,rèm cửa,0
6681848ce203776819f113d5,armchair,n,/ˈɑːrm.tʃer/,"ghế bành, ghế có tựa tay",0
6681848ce203776819f113d6,couch,n,/kaʊtʃ/,"ghế dài, trường kỷ, đi văng",0
6681848ce203776819f113d8,lamp,n,/læmp/,cái đèn,0
6681848ce203776819f113dd,rug,n,/rʌɡ/,thảm trải sàn,0
6681848ce203776819f113e8,mattress,n,/ˈmætrəs/,đệm,0
6681848ce203776819f113ee,photo frame,n,/ˈfəʊtəʊ freɪm/,khung ảnh,0
6681848ce203776819f113f1,dressing table,n,/ˈdresɪŋ teɪbl/,bàn trang điểm,0
6681848ce203776819f113f4,shower,n,/ˈʃaʊ.ɚ/,vòi hoa sen,0
6681848ce203776819f113f9,mop,n,/mɑːp/,chổi lau nhà,0
6681848ce203776819f113fd,washing machine,n,/ˈwɑː.ʃɪŋ məˌʃiːn/,máy giặt,0
6681848ce203776819f11402,red,"n, adj",/red/,màu đỏ,0
6681848ce203776819f11406,blue,"n, adj",/bluː/,"màu xanh lam, xanh nước biển",0
6681848ce203776819f11409,beige,"n, adj",/beɪʒ/,màu be,0
6681848ce203776819f1140b,gray,"n, adj",/ɡreɪ/,màu xám,0
