_id,vocabulary,type,pronunciation,meaning,__v
6669abcadeb9c3c8f02d45ca,accountant,n,/əˈkaʊn.t̬ənt/,kế toán,0
6669abcadeb9c3c8f02d45cb,actor,n,/ˈæk.tɚ/,diễn viên,0
6669abcadeb9c3c8f02d45cc,actress,n,/ˈæk.trəs/,diễn viên,0
6669abcadeb9c3c8f02d45cd,artist,n,/ˈɑːr.t̬ɪst/,nghệ sỹ,0
6669abcadeb9c3c8f02d45ce,astronaut,n,/ˈæs.trə.nɑːt/,phi hành gia,0
6669abcadeb9c3c8f02d45cf,baker,n,/ˈbeɪ.kɚ/,thợ nướng bánh,0
6669abcadeb9c3c8f02d45d0,butcher,n,/ˈbʊtʃ.ɚ/,người mổ thịt,0
6669abcadeb9c3c8f02d45d1,cashier,n,/kæʃˈɪr/,nhân viên thu ngân,0
6669abcadeb9c3c8f02d45d2,chef,n,/ʃef/,đầu bếp,0
6669abcadeb9c3c8f02d45d3,comedian,n,/kəˈmiː.di.ən/,diễn viên hài,0
6669abcadeb9c3c8f02d45d4,delivery man,n,/dɪˈlɪv.ɚ.i.mæn/,nhân viên giao hàng,0
6669abcadeb9c3c8f02d45d5,doctor,n,/ˈdoktə/,bác sĩ,0
6669abcadeb9c3c8f02d45d6,entrepreneur,n,/ˌɑːn.trə.prəˈnɝː/,nhà kinh doanh,0
6669abcadeb9c3c8f02d45d7,engineer,n,/ˌen.dʒɪˈnɪər/,kỹ sư,0
6669abcadeb9c3c8f02d45d8,factory worker,n,/ˈfæk.tɚ.i ˈwɝː.kɚ/,công nhân nhà máy,0
6669abcadeb9c3c8f02d45d9,office worker,n,/ˈɑː.fɪs ˈwɝː.kɚ/,nhân viên văn phòng,0
6669abcadeb9c3c8f02d45da,florist,n,/ˈflɔːr.ɪst/,người bán hoa,0
6669abcadeb9c3c8f02d45db,hairdresser,n,/ˈherˌdres.ɚ/,thợ cắt tóc,0
6669abcadeb9c3c8f02d45dc,lawyer,n,/ˈlɑː.jɚ/,luật sư,0
6669abcadeb9c3c8f02d45dd,musician,n,/mjuːˈzɪʃ.ən/,"nhạc sĩ, nhạc công",0
6669abcadeb9c3c8f02d45de,pharmacist,n,/ˈfɑːr.mə.sɪst/,dược sĩ,0
6669abcadeb9c3c8f02d45df,plumber,n,/ˈplʌm.ɚ/,thợ ống nước,0
6669abcadeb9c3c8f02d45e0,politician,n,/ˌpɑː.ləˈtɪʃ.ən/,chính trị gia,0
6669abcadeb9c3c8f02d45e1,programmer,n,/ˈproʊ.ɡræm.ɚ/,lập trình viên,0
6669abcadeb9c3c8f02d45e2,real estate agent,n,/ˈriː.əl ɪ.steɪt ˌeɪ.dʒənt/,người môi giới bất động sản,0
6669abcadeb9c3c8f02d45e3,tailor,n,/ˈteɪ.lɚ/,thợ may,0
6669abcadeb9c3c8f02d45e4,taxi driver,n,/ˈtæk.si ˌdraɪ.vɚ/,tài xế xe taxi,0
6669abcadeb9c3c8f02d45e5,teacher,n,/ˈtiː.tʃɚ/,giáo viên,0
6669abcadeb9c3c8f02d45e6,receptionist,n,/rɪˈsep.ʃən.ɪst/,"nhân viên lễ tân, tiếp tân",0
6669abcadeb9c3c8f02d45e7,singer,n,/ˈsɪŋ.ɚ/,ca sĩ,0
6669abcadeb9c3c8f02d45e8,firefighter,n,/ˈfaɪərfaɪtər/,lính cứu hỏa,0
6669abcadeb9c3c8f02d45e9,pen,n,/pen/,bút mực,0
6669abcadeb9c3c8f02d45ea,pencil,n,/ˈpensl/,bút chì,0
6669abcadeb9c3c8f02d45eb,highlighter,n,/ˈhaɪˌlaɪ.t̬ɚ/,bút nhớ,0
6669abcadeb9c3c8f02d45ec,ruler,n,/ˈruːlər/,thước kẻ,0
6669abcadeb9c3c8f02d45ed,eraser,n,/ɪˈreɪ.sɚ/,"tẩy, gôm",0
6669abcadeb9c3c8f02d45ee,pencil case,n,/ˈpensl keɪs/,hộp bút,0
6669abcadeb9c3c8f02d45ef,book,n,/bʊk/,quyển sách,0
6669abcadeb9c3c8f02d45f0,notebook,n,/ˈnəʊtbʊk/,vở,0
6669abcadeb9c3c8f02d45f1,paper,n,/ˈpeɪ.pɚ/,giấy,0
6669abcadeb9c3c8f02d45f2,scissors,n,/ˈsɪz.ɚz/,kéo,0
6669abcadeb9c3c8f02d45f3,clock,n,/klɑːk/,đồng hồ,0
6669abcadeb9c3c8f02d45f4,clip,n,/klɪp/,kẹp ghim,0
6669abcadeb9c3c8f02d45f5,stapler,n,/ˈsteɪ.plɚ/,cái dập ghim,0
6669abcadeb9c3c8f02d45f6,pin,n,/pɪn/,đinh ghim,0
6669abcadeb9c3c8f02d45f7,glue,n,/ɡluː/,hồ dán,0
6669abcadeb9c3c8f02d45f8,sticky tape,n,/ˈstɪki teɪp/,băng dính,0
